date,% Iron Feed,% Silica Feed,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,Flotation Column 01 Air Flow,Flotation Column 02 Air Flow,Flotation Column 03 Air Flow,Flotation Column 04 Air Flow,Flotation Column 05 Air Flow,Flotation Column 06 Air Flow,Flotation Column 07 Air Flow,Flotation Column 01 Level,Flotation Column 02 Level,Flotation Column 03 Level,Flotation Column 04 Level,Flotation Column 05 Level,Flotation Column 06 Level,Flotation Column 07 Level,% Iron Concentrate,% Silica Concentrate
2017-03-11 14:00:00,"59,89","8,98","3580,08","313,11","411,1147213115","9,61875","1,76966","247,852","252,686","252,466","295,096","306,4","250,928","249,609","534,021","785,321734375","614,55","657,23","662,59","655,83","602,52","64,92","2,98"
2017-03-11 14:00:00,"59,89","8,98","3632,81","311,89","411,3238852459","9,62075","1,76931","249,829","256,86","252,026","295,096","306,4","251,147","251,367","514,001","785,4881875","617,25","641,02","663,9977777778","659,75","614,66","64,92","2,98"
2017-03-11 14:00:00,"59,89","8,98","3560,55","311,89","411,5330491803","9,62275","1,76897","248,73","249,39","250,269","295,096","306,4","249,829","249,17","514,001","785,654640625","613,47","636,72","665,4055555556","672,07","603,62","64,92","2,98"
2017-03-11 14:00:00,"59,89","8,98","3539,06","309,448","411,7422131148","9,62475","1,76862","247,632","243,677","245,215","295,096","306,4","248,511","246,533","518,005","785,82109375","613,47","660,55","666,8133333333","684,39","598,11","64,92","2,98"
2017-03-11 14:00:00,"59,89","8,98","3527,34","310,059","411,9513770492","9,62675","1,76828","247,412","247,192","249,17","295,096","306,4","249,829","252,466","533,521","785,987546875","613,47","640,23","668,2211111111","684,1863636364","617,42","64,92","2,98"
2017-03-11 14:00:00,"59,89","8,98","3685,55","307,617","412,1605409836","9,62875","1,76793","246,533","250,928","247,852","295,096","306,4","250,928","248,95","530,017","786,154","583,79","658,2","669,6288888889","683,9827272727",613,"64,92","2,98"
2017-03-11 14:00:00,"59,89","8,98","3822,27","313,721","412,369704918","9,63075","1,76759","246,533","253,125","249,829","295,096","306,4","249,829","248,291","533,521","786,320453125","612,93","622,85","671,0366666667","683,7790909091","632,31","64,92","2,98"
2017-03-11 14:00:00,"59,89","8,98","3853,52","310,669","412,5788688525","9,63275","1,76725","246,973","249,609","252,026","295,096","306,4","252,686","251,367","534,021","786,48690625","593,51","587,5","672,4444444444","683,5754545455","619,07","64,92","2,98"
2017-03-11 14:00:00,"59,89","8,98","3832,03","305,786","412,7880327869","9,63475","1,7669","248,73","255,981","253,784","295,096","306,4","252,246","248,73","510,498","786,653359375","592,97","552,15","673,8522222222","683,3718181818",613,"64,92","2,98"
2017-03-11 14:00:00,"59,89","8,98","3779,3","307,617","412,9971967213","9,63675","1,76656","250,269","252,905","252,246","295,096","306,4","250,488","250,269","527,014","786,8198125","601,06","516,8","675,26","683,1681818182","579,9","64,92","2,98"
